time,label
365,ifa
366,ifa
367,ifa
368,ifa
369,ifa
370,ifa
371,ifa
372,ifa
373,ifa
374,ifa
375,ifa
376,ifa
377,ifa
378,ifa
379,ifa
380,ifa
381,ifa
382,ifa
383,ifa
384,ifa
385,ifa
386,ifa
387,ifa
388,ifa
389,ifa
390,ifa
391,ifa
392,ifa
393,ifa
394,ifa
395,ifa
396,ifa
397,ifa
398,ifa
399,ifa
400,ifa
401,ifa
402,ifa
403,ifa
404,ifa
405,ifa
406,ifa
407,ifa
408,ifa
409,ifa
410,ifa
411,ifa
412,ifa
413,ifa
414,ifa
415,ifa
416,ifa
417,ifa
418,ifa
419,ifa
420,ifa
421,ifa
422,ifa
423,ifa
424,ifa
425,ifa
426,ifa
427,ifa
428,ifa
429,ifa
430,ifa
431,ifa
432,ifa
433,ifa
434,ifa
435,ifa
436,ifa
437,ifa
438,ifa
439,ifa
440,ifa
441,ifa
442,ifa
443,ifa
444,ifa
445,ifa
446,ifa
447,ifa
448,ifa
449,ifa
450,ifa
451,ifa
452,ifa
453,ifa
454,ifa
455,ifa
456,ifa
457,ifa
458,ifa
459,ifa
460,ifa
461,ifa
462,ifa
463,ifa
464,ifa
465,ifa
466,ifa
467,ifa
468,ifa
469,ifa
470,ifa
471,ifa
472,ifa
473,ifa
474,ifa
475,ifa
476,ifa
477,ifa
478,ifa
479,ifa
480,ifa
481,ifa
482,ifa
483,ifa
484,ifa
485,ifa
486,ifa
487,ifa
488,ifa
489,ifa
490,ifa
491,ifa
492,ifa
493,ifa
494,ifa
495,ifa
496,ifa
497,ifa
498,ifa
499,ifa
500,ifa
501,ifa
502,ifa
503,ifa
504,ifa
505,ifa
506,ifa
507,ifa
508,ifa
509,ifa
510,ifa
511,ifa
512,ifa
513,ifa
514,ifa
515,ifa
516,ifa
517,ifa
518,ifa
519,ifa
520,ifa
521,ifa
522,ifa
523,ifa
524,ifa
525,ifa
526,ifa
527,ifa
528,ifa
529,ifa
530,ifa
531,ifa
532,ifa
533,ifa
534,ifa
535,ifa
536,ifa
537,ifa
538,ifa
539,ifa
540,ifa
541,ifa
542,ifa
543,ifa
544,ifa
545,ifa
546,ifa
547,ifa
548,ifa
549,ifa
550,ifa
551,ifa
552,ifa
553,ifa
554,ifa
555,ifa
556,ifa
557,ifa
558,ifa
559,ifa
560,ifa
561,ifa
562,ifa
563,ifa
564,ifa
565,ifa
566,ifa
567,ifa
568,ifa
569,ifa
570,ifa
571,ifa
572,ifa
573,ifa
574,ifa
575,ifa
576,ifa
577,ifa
578,ifa
579,ifa
580,ifa
581,ifa
582,ifa
583,ifa
584,ifa
585,ifa
586,ifa
587,ifa
588,ifa
589,ifa
590,ifa
591,ifa
592,ifa
593,ifa
594,ifa
595,ifa
596,ifa
597,ifa
598,ifa
599,ifa
